c0S/m	depSM	flag	lat	lon	name	potemp090C	pr	sal00	sigma-t00	t090	timeJ	Season	zona
5.20841	4.173	0.0	-28.506856	-48.797201	st5	25.6895	4.201	33.7506	22.1867	25.6904	25.607824	verao	Rio Tubarão
5.22995	4.526	0.0	-28.506856	-48.797201	st5	25.6751	4.557	33.918	22.3174	25.6761	25.607905	verao	Rio Tubarão
5.22689	4.901	0.0	-28.506856	-48.797201	st5	25.6718	4.934	33.898	22.3032	25.6729	25.607986	verao	Rio Tubarão
5.22615	4.914	0.0	-28.506856	-48.797201	st5	25.6725	4.947	33.892	22.2986	25.6736	25.608067	verao	Rio Tubarão
5.22949	4.764	0.0	-28.506856	-48.797201	st5	25.6742	4.796	33.9152	22.3155	25.6753	25.608148	verao	Rio Tubarão
5.22627	4.2	0.0	-28.506856	-48.797201	st5	25.6771	4.228	33.8899	22.2956	25.678	25.608229	verao	Rio Tubarão
5.11781	2.701	0.0	-28.506856	-48.797201	st5	25.8005	2.719	33.0124	21.5959	25.8011	25.60831	verao	Rio Tubarão
2.28052	1.121	0.0	-28.506856	-48.797201	st5	28.4516	1.129	12.7738	5.6333	28.4519	25.608391	verao	Rio Tubarão
0.69177	-0.129	0.0	-28.506856	-48.797201	st5	27.3016	-0.13	3.6078	-0.8632	27.3016	25.608472	verao	Rio Tubarão
0.8916	0.124	0.0	-28.499238000000002	-48.786512	st6	28.2398	0.125	4.6435	-0.3594	28.2398	25.610741	verao	Rio Tubarão
0.88654	0.782	0.0	-28.499238000000002	-48.786512	st6	28.2158	0.787	4.6175	-0.3719	28.216	25.610822	verao	Rio Tubarão
1.39642	1.909	0.0	-28.499238000000002	-48.786512	st6	28.4666	1.922	7.4944	1.6981	28.467	25.610903	verao	Rio Tubarão
3.10393	2.157	0.0	-28.499238000000002	-48.786512	st6	26.5203	2.172	18.6536	10.5992	26.5208	25.610984	verao	Rio Tubarão
4.91165	2.234	0.0	-28.499238000000002	-48.786512	st6	25.8329	2.249	31.5029	20.4486	25.8334	25.611065	verao	Rio Tubarão
4.01577	1.766	0.0	-28.499238000000002	-48.786512	st6	28.0108	1.778	24.0217	14.1598	28.0112	25.611146	verao	Rio Tubarão
2.54812	1.534	0.0	-28.499238000000002	-48.786512	st6	28.6947	1.544	14.3485	6.7314	28.695	25.611227	verao	Rio Tubarão
1.76562	0.911	0.0	-28.499238000000002	-48.786512	st6	28.3544	0.917	9.6867	3.364	28.3546	25.611308	verao	Rio Tubarão
1.10152	-0.08	0.0	-28.499238000000002	-48.786512	st6	28.2751	-0.081	5.8247	0.5109	28.2751	25.611389	verao	Rio Tubarão
0.43652	-0.106	0.0	-28.478801	-48.791544	st7	25.7623	-0.107	2.2816	-1.4339	25.7623	25.614387	verao	Canal
0.98086	-0.077	0.0	-28.478801	-48.791544	st7	28.1923	-0.078	5.1498	0.032	28.1923	25.614468	verao	Canal
0.98068	-0.056	0.0	-28.478801	-48.791544	st7	28.1878	-0.056	5.1493	0.033	28.1878	25.614549	verao	Canal
0.99973	0.416	0.0	-28.478801	-48.791544	st7	28.1632	0.419	5.2596	0.1224	28.1633	25.61463	verao	Canal
1.08517	0.775	0.0	-28.478801	-48.791544	st7	28.1006	0.78	5.7524	0.508	28.1008	25.614711	verao	Canal
1.16464	1.171	0.0	-28.478801	-48.791544	st7	28.0063	1.179	6.2197	0.884	28.0066	25.614792	verao	Canal
1.92767	1.582	0.0	-28.478801	-48.791544	st7	28.2175	1.593	10.6873	4.1501	28.2179	25.614873	verao	Canal
3.30264	1.97	0.0	-28.478801	-48.791544	st7	27.7637	1.983	19.4523	10.8223	27.7641	25.614954	verao	Canal
3.80104	2.692	0.0	-28.478801	-48.791544	st7	25.9913	2.71	23.5977	14.4592	25.9919	25.615035	verao	Canal
4.42972	3.366	0.0	-28.478801	-48.791544	st7	25.7462	3.389	28.1223	17.9306	25.7469	25.615116	verao	Canal
4.81447	4.11	0.0	-28.478801	-48.791544	st7	25.7539	4.138	30.8583	19.9871	25.7548	25.615197	verao	Canal
5.06775	4.386	0.0	-28.478801	-48.791544	st7	25.7492	4.416	32.6861	21.3656	25.7502	25.615278	verao	Canal
5.10459	4.516	0.0	-28.478801	-48.791544	st7	25.7565	4.546	32.9476	21.5605	25.7575	25.615359	verao	Canal
